source,class,candidate_files,resolved
system/libs/PEAR/PEAR.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/PEAR.php,Exception,PHPMailer/src/Exception.php,True
system/libs/PEAR/Savant3.php,Savant3_Error,system/libs/PEAR/Savant3/Error.php,True
system/libs/PEAR/Savant3.php,Savant3_Exception,system/libs/PEAR/Savant3/Exception.php,True
system/libs/PEAR/Savant3.php,filters,,False
system/libs/PEAR/DB/common.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/common.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/common.php,DB_result,system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/common.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/dbase.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/dbase.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/DB/dbase.php,DB_result,system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/fbsql.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/fbsql.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/fbsql.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/DB/ibase.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/ibase.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/ibase.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/DB/ibase.php,DB_result,system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/ifx.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/ifx.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/ifx.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/DB/msql.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/msql.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/msql.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/DB/mssql.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/mssql.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/mssql.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/DB/mysql.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/mysql.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/mysql.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/DB/mysqli.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/mysqli.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/mysqli.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/DB/oci8.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/oci8.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/oci8.php,DB_common,system/libs/PEAR/DB/common.php,True
