product_id,file_id,kind,path,original_id,version,source_line
1,1,IMAGE,system/files/images/productos/a55fa2df012da03804394e857fc5e09ed6a69191,,original,1532
1,165,IMAGE,system/files/images/productos/7f7f61551dd20beb863b5847d43b062d728c618d,,original,1532
1,164,PDF,system/files/images/productos/959c0d9393ada51bef2817e8db59c54b487d2262,,original,1532
2,19,IMAGE,system/files/images/productos/59ca6b73479b3fcde81f96439976896bad94b750,,original,1533
2,23,IMAGE,system/files/images/productos/9373560b7092ddbdc9e4c0586c55dacf882d166a,,original,1533
2,9,PDF,system/files/images/productos/b2588f4e4df68a23124a8dbc2b63374ec6959253,,original,1533
2,10,PDF,system/files/images/productos/74237414514c37fbc6273d2d8ed63ba0af98464d,,original,1533
3,31,IMAGE,system/files/images/productos/158ffcb904bc82f2a7d2ec143de37e00730d04bd,,original,1534
3,35,PDF,system/files/images/productos/270dc5e4c6c6812ee093439acca26905e68f7d8d,,original,1534
4,169,IMAGE,system/files/images/productos/0dd525f64a0290377628938328d07d21668c7f22,,original,1535
4,173,PDF,system/files/images/productos/42ba96f71987cc30cb19107d18eb0649ee492636,,original,1535
5,174,IMAGE,system/files/images/productos/c8ff88040661a79b39a07b1e3a27f49432df5dff,,original,1536
5,178,PDF,system/files/images/productos/282c6618830434da376551106d0722c97a5f2416,,original,1536
6,179,IMAGE,system/files/images/productos/d113f473f3aa6186e6cce3296aebc45f1a266b9d,,original,1537
6,183,IMAGE,system/files/images/productos/f304f05a8957297b9b40a452fa93647f80e7bcb6,,original,1537
6,187,IMAGE,system/files/images/productos/68350ebf06fb528912f62e2bf663862519c7dd38,,original,1537
6,191,IMAGE,system/files/images/productos/dfab80908ff3b6ba9e823ae8e208dbca887b97fe,,original,1537
6,195,PDF,system/files/images/productos/1bc8deceeea60e7d404142cf859897e4e36ccc86,,original,1537
7,196,IMAGE,system/files/images/productos/e580517f07a377c10127844c71373a174bcf76fe,,original,1538
7,200,PDF,system/files/images/productos/6e1ed3d9b7cfc7e53a9396670b592b8e0a0aa2da,,original,1538
8,201,IMAGE,system/files/images/productos/187b4bd808ae2adb2a5952d632cf3116e0fc8051,,original,1539
8,205,PDF,system/files/images/productos/06bfd8e22a88d66d31acea15164a009c18912ca2,,original,1539
9,206,IMAGE,system/files/images/productos/0dff9191d2ec6cb7124c0438858de83fb11ccdf7,,original,1540
9,210,IMAGE,system/files/images/productos/7d20ad9bfbd958c417038f14164c8a21573e4d34,,original,1540
9,214,IMAGE,system/files/images/productos/8622f8b336698cab1d58bcd0bb0f864586914bb6,,original,1540
9,218,IMAGE,system/files/images/productos/52af9161c31f825128383fb23742e384e60dd462,,original,1540
